Timestamp,V,B,G,Y,O,R
1/2/2026 10:37:54,829.33,346.14,1587.8,932.16,1061.53,202.53
1/2/2026 10:38:00,870.04,385.86,1656.83,1005.07,1073.5,214.5
1/2/2026 10:38:07,891.66,409.98,1687.9,1048.43,1079.49,221.86
1/2/2026 10:40:45,1383.92,2547.82,4381.4,5649.11,15783.31,20135.16
1/2/2026 10:40:52,919.64,1794.54,3303.31,4489.33,12848.13,16848.65
1/2/2026 10:40:58,821.7,1540.61,9011.33,10334.52,17931.31,20089.13
1/2/2026 10:41:05,755.56,1479.61,2663.59,3752.28,11589.06,15783.53
1/2/2026 10:41:11,697.05,1312.21,2294.25,3299.99,10912.63,15452.12
1/2/2026 10:41:18,2620.28,3949.4,5097.06,6192.04,19977.56,23568.04
1/2/2026 10:41:25,19920.49,14810.26,13515.84,13915.34,25541.62,23568.04
1/2/2026 10:43:31,8821.19,7068.92,13982.98,15399.31,22584.5,21653.22
1/2/2026 10:43:37,970.52,1607.28,2598.01,3482.28,11135.11,16241.06
1/2/2026 10:43:43,938.72,1783.19,3299.86,4431.19,12639.62,16568.79
1/2/2026 10:43:50,976.88,1878.24,3590.96,4704.14,12650.59,15999.87
1/2/2026 10:43:57,812.8,1482.44,2451.88,3347.29,10218.25,14239.7
1/2/2026 10:44:03,638.53,1237.03,2504.81,3367.98,9580.73,12437.18
1/2/2026 10:44:11,86.49,36.88,37.97,34.49,46.89,28.54
1/2/2026 10:44:57,948.9,1641.33,2774.04,3682.31,10990.45,15357.3
1/2/2026 10:45:03,898.02,1475.35,2416.21,3231.02,10207.27,15231.17
1/2/2026 10:45:10,844.6,1367.54,2010.06,2740.3,9374.21,14477.21
1/2/2026 10:45:17,885.3,1655.51,2805.11,3769.03,11244.86,15644.52
1/2/2026 10:45:23,1069.74,1839.93,2899.46,3883.33,12019.06,17076.96
1/2/2026 10:45:30,1002.32,1807.31,3153.74,4194.7,12013.07,16432.55
1/2/2026 10:45:37,961.62,1801.63,3328.62,4478.49,12824.19,16761.2
1/2/2026 10:45:44,1037.94,1974.7,3841.78,5042.12,13334,16949
1/2/2026 10:45:50,1153.69,2245.66,4255.99,5567.32,14599.06,18370.39
1/2/2026 10:45:56,103.03,113.49,67.88,95.58,73.83,81.01
1/2/2026 10:48:56,1512.39,2505.26,2824.67,3812.38,13634.3,21689.12
1/2/2026 10:49:03,1261.81,2020.1,2665.89,3538.45,12670.54,20927.79
1/2/2026 10:49:10,1456.42,2325.1,3396.51,4274.52,13849.8,22187.16
1/2/2026 10:49:16,1752.79,2573.35,3008.76,3738.48,12381.22,19885.68
1/2/2026 10:49:23,3349.13,4471.45,3409.16,4242.99,14333.68,23277.14
1/2/2026 15:46:35,1843.1,3055.68,5202.92,6256.09,15194.68,18172.46
1/2/2026 15:46:41,1989.38,3468.49,6666.45,7919.39,17046.37,18911.7
1/2/2026 15:46:51,2208.16,3711.08,7010.47,8210.07,17962.24,20450
1/2/2026 15:46:58,11919.73,10435.27,18295.35,19402.85,25541.62,23568.04
1/2/2026 15:47:05,1675.2,2848.56,5733.33,6790.16,15199.66,19208.13
1/2/2026 18:55:51,1490.76,3190.45,6271.8,8110.55,20411.55,23568.04
1/2/2026 18:55:58,1405.54,2969.14,5759.8,7446.41,19176.42,23568.04
1/2/2026 18:56:05,1333.04,2759.19,5117.77,6672.9,18006.14,23568.04
1/2/2026 18:56:11,1287.24,2596.05,4862.34,6362.51,17574.14,23567.13
1/2/2026 18:56:18,1322.86,2781.89,5454.89,7103.51,18639.67,23568.04
1/2/2026 18:56:27,1294.88,2696.77,5301.87,6908.4,18210.66,23568.04
1/2/2026 18:56:34,1353.39,2858.49,5710.32,7372.51,18714.49,23568.04
1/2/2026 18:56:42,1226.19,2492.49,4708.17,6203.87,17189.04,23220.98
1/3/2026 11:24:09,1719.72,119.16,1336.97,514.36,1490.53,289.07
1/3/2026 11:25:13,2355.71,4292.71,9106.83,10857.75,22323.1,23568.04
1/3/2026 11:25:20,1278.34,2064.07,3740.53,4594.76,12171.7,17369.71
1/3/2026 11:25:30,2121.66,3407.49,6019.83,7026.65,16160.43,20870.71
1/3/2026 11:25:39,1972.84,3274.15,6071.6,7116.32,15124.84,18978.9
1/3/2026 11:25:49,1937.23,2983.33,4938.28,5871.8,14884.4,20110.31
1/3/2026 11:26:00,2251.41,3689.8,6550.24,7635.6,16669.25,20663.58
1/3/2026 11:26:07,1935.96,3068.45,5745.99,6720.2,14715.79,18573.84
1/3/2026 11:26:17,6292.49,7314.34,9996.22,10952.35,23654.01,23546.87
1/3/2026 11:36:42,515.15,1027.07,2568.09,3485.24,9186.64,12738.21
1/3/2026 11:36:49,524.06,1089.49,2877.6,3935.55,9943.88,13154.32
1/3/2026 11:36:58,554.58,1195.89,3286.05,4414.44,10374.88,13110.13
1/3/2026 11:37:08,569.85,1258.3,3572.55,4747.5,10638.27,13064.1
1/3/2026 11:37:18,568.58,1268.23,3694.51,4884.46,10629.29,12839.48
1/3/2026 11:37:28,581.3,1300.86,3818.77,5030.3,10738.04,12861.57
1/3/2026 11:37:40,581.3,1307.96,3911.97,5138.69,10762.98,12784.25
1/3/2026 11:37:50,585.11,1324.98,4004.01,5241.16,10782.93,12712.44
1/3/2026 11:42:37,344.71,72.35,266.93,104.45,788.17,62.6
1/3/2026 11:42:43,764.46,1147.65,1061.98,1895.84,1645.18,2745.2
1/3/2026 11:42:53,395.59,66.67,284.19,96.57,773.2,63.52
